case_id,narrative,title,energy_source,energy_level,exposure_type,barrier_status,life_saving_rule,counterfactual_could_be_fatal_or_permanent,counterfactual_reasoning,evidence_phrase,recorded_severity,confidence,evidence_verified,sps,sps_breakdown
201079928,At approximately 11:30 a.m. on November 13  2013  Employee #1  with Edco Waste  & Recycling Services  was operating a forklift (Linde Lift Truck; Serial  Number: H2X393S04578; identified by the employer as FL-3) from approximately  4:00 a.m.  moving bales of recyclable paper products from a collection area in  the yard into trucks. Then  Employee #1 cleaned and was replacing an air  filter on the forklift FL-3. To clean out the air filter  Employee #1 parked  FL-3 in the doorway of the maintenance building. The air filter was located on  the rear of the forklift  behind the cab frame on the driver's side. Employee  #1 removed the air filter and cleaned it out  and then he climbed up onto the  back of the forklift to replace it. While up on the back of the forklift   Employee #1's foot dislodged the cooling system radiator cap. The fluid in the  lift truck's cooling system was hot and under pressure from being operated all  morning. The hot fluid sprayed up and out of the reservoir. Employee #1 was  burned on the upper legs and the groin area. Employee #1 jumped off of the  back of the forklift onto the ground. Coworkers came to his assistance and  called emergency services. Employee #1 was hospitalized at a burn center for  over 24 hours  for treatment of second degree burns to the upper legs and  groin area.,Employee Is Burned By Forklift Radiator Fluid,thermal,high,direct_contact,absent,ppe,True,The high-pressure coolant sprayed directly onto the body due to a dislodged radiator cap; a small change in positioning or timing could have resulted in more severe burns or a fatality.,Employee #1's foot dislodged the cooling system radiator cap,{'1': 'burn'},0.98,True,87.5,"{'energy_level_pts': 4, 'exposure_pts': 3, 'barrier_pts': 3, 'counterfactual_pts': 4, 'raw_total': 14, 'max_possible': 16}"
202561825,On August 30  2013  Employee #1 was working from a flatbed trailer. As he  worked  he fell from the flatbed trailer onto the ground  striking his  abdomen. The fall height of the flatbed trailer was 57 inches. Employee #1  sustained unspecified injuries in the fall that later on caused his death.,Employee Falls From Flatbed Trailer And Later Dies,gravity_fall,moderate,no_proximity,absent,working_at_height,True,A ~5 ft fall onto a hard surface with no fall protection is a recognized SIF mechanism; this event's fatal outcome confirms the precursor was already severe rather than an edge case.,Employee #1 was working from a flatbed trailer. As he worked he fell from the flatbed trailer onto the ground striking his abdomen,{'1': 'fatality'},0.85,True,56.2,"{'energy_level_pts': 2, 'exposure_pts': 0, 'barrier_pts': 3, 'counterfactual_pts': 4, 'raw_total': 9, 'max_possible': 16}"
200361855,On August 27  2013  Employees #1 and #2  of Templar Inc.  a construction  company specializing in fiber optic installation and services  were working  along a highway. The highway speed limit was posted at 55 miles per hour.  Employee #1 was marking the location of an underground line that ran below the  turn lane. Employee #2 was next to Employee #1 and performing the duties of a  flagger. A privately owned vehicle was travelling in the travel/through lane.  The vehicle veered to the right  entered the turn lane  and struck both  workers. Emergency medical services were called. Employee #1 was declared dead  at the scene. Employee #2 refused emergency medical treatment for the bruises  he received when struck.,Two Workers Are Struck By Motor Vehicle And One Is Killed,motion_vehicle_traffic,very_high,direct_contact,partially_functioning,mobile_equipment_driving,True,A vehicle traveling at 55 mph directly striking workers in a turn lane represents a high-risk scenario with significant potential for fatal injury; even slight changes in the vehicle's trajectory or worker positioning could have resulted in a fatality.,The vehicle veered to the right entered the turn lane and struck both workers,"{'1': 'fatality', '2': 'minor_injury'}",0.98,True,81.2,"{'energy_level_pts': 6, 'exposure_pts': 3, 'barrier_pts': 0, 'counterfactual_pts': 4, 'raw_total': 13, 'max_possible': 16}"
200361863,On August 26  2013  Employee #1  with Lee Iron and Metal Company  Inc.  was  using a forklift (Hyster 50 sit down rider) to move and stack bundled cubes of  recycled insulated co-axial (coax) cable and insulated copper wire. The cubes  weighed anywhere from 1 000 to 2 000 lbs. Employee #1 had completed stacking  one column  consisting of five cubes in height  along the northeast wall of  the recycling warehouse. Employee #1 was beginning a new second column  directly in front of the existing first column. Employee #1 placed the first  cube of the second column tight against the bottom cube of the existing first  column. Employee #1 then backed the forklift up  approximately 5 ft  and  exited the forklift. Employee #1 then stepped in between the forklift and the  cubes to either clean off the top from possible loose wires that created a  hump or to place 4 ft by 4 ft dunnage so the next cube could be stacked. The  five tier stack of cubes began to overturn. The first one went over Employee  #1's head and settled on the forks. The second cube (weighing 1 948 lbs)  struck Employee #1 on the left side of his face and upper torso and forced him  back and down. Employee #1 was pinned between the first cube that fell and  second cube. A third cube also fell  which struck Employee #1's legs. Employee  #1 received a puncture wound to the right abdomen area which caused increased  blood loss. According to the medical examiner's report  Employee #1 died at  the scene from blunt force trauma to the head.,Employee Is Struck By Bales Of Wire And Killed,mechanical_moving_equipment,high,proximity_line_of_fire,degraded,none,True,"The unstable stack of heavy cubes, combined with the forklift backing up and Employee #1 entering the zone between the forklift and the load, created a high-risk scenario. A slight shift in weight or a minor movement of the forklift could have resulted in a more severe impact on the head or torso.",The first one went over Employee #1's head and settled on the forks,{'1': 'fatality'},0.98,True,71.9,"{'energy_level_pts': 4, 'exposure_pts': 2, 'barrier_pts': 1.5, 'counterfactual_pts': 4, 'raw_total': 11.5, 'max_possible': 16}"
201079324,On July 14  2013  Employee #1  vacuum pump truck driver and operator  was  offloading hot brine water at a geothermal power plant. He was assigned to  transfer loads of the brine between power plants and had already made several  trips between facilities. When he arrived at the plant  Employee #1 connected  the hose to the vehicle's tank outlet valve and proceeded to empty the tanks  contents by gravity. While the tank was left emptying  he went inside the  plant's control center briefly to cool off and to get a drink of water.  Employee #1 noticed that the flow of brine had stopped due to a clog in the  hose when he returned. He tried to clear the hose by switching the truck to  vacuum. As he did this  he noticed that the flow was still impeded. Employee  #1 loosened the hose coupler on the truck's valve  which caused hot  pressurized brine to flow out. He attempted to hold the hose  but eventually  let go  causing the hot brine water to splash on his left abdomen  right leg   left leg and left shoulder. Employee #1 rushed into the control room and  removed his hot brine soaked clothing. A coworker observed the pump truck with  the brine pouring out and Employee #1 running toward the control room. This  coworker shut off the valve on the pump truck and went to check on Employee  #1. Employee #1 was taken to a hospital and was then transferred to the burn  unit of a medical center. He was admitted to the medical center  where he was  treated for second and third-degree burns and then hospitalized.,Employee Is Splashed With Hot Water And Is Burned,thermal,high,direct_contact,partially_functioning,ppe,True,"The release of high-pressure, hot brine directly onto the body with no PPE and a subsequent loss of grip represents a critical failure in hazard control. A small change in the timing of the hose disconnection or his grip could have resulted in full-body immersion and severe thermal injury.",hot brine water to splash on his left abdomen right leg left leg and left shoulder,{'1': 'burn'},0.98,True,68.8,"{'energy_level_pts': 4, 'exposure_pts': 3, 'barrier_pts': 0, 'counterfactual_pts': 4, 'raw_total': 11, 'max_possible': 16}"
202658258,On June 30  2013  Employee #1 was working in a food Taqueria for a  supermarket. The employee was in the kitchen area transferring soup from the  kitchen area to a refrigerator. While in the refrigerator  the employee lifted  the pail while hot and the pail was soft due to the heat  it folded causing  the liquid to spill on her the employee's arm  chest and abdomen area.  Employee #1 was transported to an area hospital  where she was treated for  second and third degree burns and remains hospitalized.,Employee Suffers Burns While Moving Soup,thermal,high,direct_contact,degraded,none,True,"Hot liquid in a compromised container (softened by heat) directly contacting the arm, chest and abdomen represents a high-risk scenario for severe burns; a slight change in the pail's structural integrity or the employee’s positioning could have resulted in catastrophic injury.",The employee lifted the pail while hot and the pail was soft due to the heat it folded causing the liquid to spill on her the employee's arm chest and abdomen area,{'1': 'hospitalized_serious'},0.98,True,78.1,"{'energy_level_pts': 4, 'exposure_pts': 3, 'barrier_pts': 1.5, 'counterfactual_pts': 4, 'raw_total': 12.5, 'max_possible': 16}"
202685947,An incident occurred as Employee #1 was attempting to remove a piece of glass  from a tailgate for replacement. While cutting the seal that holds the glass  Employee #1 was pulling a knife towards himself. The knife slipped and due to  the force and direction  Employee #1 was placing on the knife  caused the  knife to strike him in the abdomen causing a stabbing type of wound. Employee  #1 was taken to a local hospital for the puncture wound and for observation.,Employee Injures Self With Knife,mechanical_moving_equipment,moderate,direct_contact,functioning,ppe,True,"The force applied by the knife while being pulled towards the body, combined with a slip, created a high-risk scenario for penetrating trauma to vital organs; a slight change in grip or blade angle could have resulted in severe internal damage.",knife slipped and due to the force and direction Employee #1 was placing on the knife caused the knife to strike him in the abdomen,{'1': 'hospitalized_serious'},0.98,True,56.2,"{'energy_level_pts': 2, 'exposure_pts': 3, 'barrier_pts': 0, 'counterfactual_pts': 4, 'raw_total': 9, 'max_possible': 16}"
202673471,At approximately 6:30 a.m. on May 13  2013  Employee #1  a foreman regularly  employed by Integrity Rebar Placers  was operating a rough terrain forklift at  a contracted job site in Murrieta  CA. He was using the forklift to move  bundles of steel. Employee #1 was positioning the forklift to pick up another  load when the forklift tipped back and over. Employee #1 exited the cab of the  forklift as the machine tipped over. The forklift fell on top of Employee #1   pinning him under the lower section of the boom and crushing his abdomen. He  was killed. The employer notified Cal/OSHA of this fatality at approximately  8:35 a.m. on May 13  2013. The subsequent investigation determined that  Employee #1 had been employed by the company for approximately 2.5 months.,Foreman Is Fatally Crushed When Forklift Tips Over,mechanical_moving_equipment,very_high,direct_contact,functioning,mobile_equipment_driving,True,A rough terrain forklift tipping over and crushing a worker under its boom at high speed represents a classic SIF scenario; even a slight change in the angle of the tip or the worker's position could have resulted in immediate fatal injury.,The forklift tipped back and over,{'1': 'fatality'},0.98,True,81.2,"{'energy_level_pts': 6, 'exposure_pts': 3, 'barrier_pts': 0, 'counterfactual_pts': 4, 'raw_total': 13, 'max_possible': 16}"
202369575,On April 23  2013  Employee #1  a baggage tug operator  was working on the  ground. A coworker was pulling a cart with a tug making turns toward the exit  gate. The turning cart and tug struck and ran over the employee. Employee #1  was transported to King County Medical Examiners  where he was treated for an  abdominal fracture. Employee #1 remained hospitalized.,Employee Fractures Abdomen When Run Over By Tug Cart,motion_vehicle_traffic,very_high,direct_contact,absent,mobile_equipment_driving,True,A high-speed cart operating near a pedestrian with no traffic control or designated path presents an immediate and severe risk of crushing injuries to the abdomen; even a slight change in speed or direction could have resulted in fatal trauma.,A coworker was pulling a cart with a tug making turns toward the exit gate,{'1': 'fracture'},0.98,True,100.0,"{'energy_level_pts': 6, 'exposure_pts': 3, 'barrier_pts': 3, 'counterfactual_pts': 4, 'raw_total': 16, 'max_possible': 16}"
202509832,On April 9  2013  Employee #1 was installing vinyl sidings on a single story  residence. The employee was standing an A-frame ladder that was set on a plank  of a scaffold. The scaffold moved causing Employee #1 to lose his balance. The  employee fell from the ladder approximately 12-ft to the ground. Employee #1  was transported to an area hospital  where he was treated for an abdominal  fracture. The employee remained hospitalized.,Employee Suffers Abdominal Fracture In Fall From Ladder,mechanical_moving_equipment,moderate,proximity_line_of_fire,partially_functioning,ppe,True,A 12-foot fall from a ladder supported by a moving scaffold presents a significant risk of severe injury to the abdomen; a small change in the movement or the employee's balance could have resulted in catastrophic damage.,Employee #1 was installing vinyl sidings on a single story residence. The employee was standing an A-frame ladder that was set on a plank of a scaffold.,{'1': 'fracture'},0.9500000000000001,True,50.0,"{'energy_level_pts': 2, 'exposure_pts': 2, 'barrier_pts': 0, 'counterfactual_pts': 4, 'raw_total': 8, 'max_possible': 16}"
